title,genres,rating
Blues Brothers 2000 (1998),Action|Comedy|Musical,4
Tokyo Fist (Tokyo ken) (1995),Action|Drama,0.5
"Wedding Singer, The (1998)",Comedy|Romance,4
Sphere (1998),Sci-Fi|Thriller,4
Palmetto (1998),Crime|Drama|Mystery|Romance|Thriller,0.5
As Good as It Gets (1997),Comedy|Drama|Romance,1.5
King of New York (1990),Crime|Thriller,3.5
Men with Guns (1997),Action|Drama,3.5
Twilight (1998),Crime|Drama|Thriller,0.5
U.S. Marshals (1998),Action|Crime|Thriller,0.5
Welcome to Woop-Woop (1997),Comedy,5
Love and Death on Long Island (1997),Comedy|Drama,4
In God's Hands (1998),Action|Drama,4
Everest (1998),Documentary|IMAX,4.5
Suicide Kings (1997),Comedy|Crime|Drama|Mystery|Thriller,0.5
"Man in the Iron Mask, The (1998)",Action|Adventure|Drama,4
"Newton Boys, The (1998)",Crime|Drama,4
Wild Things (1998),Crime|Drama|Mystery|Thriller,4
Paulie (1998),Adventure|Children|Comedy,0.5
Fireworks (Hana-bi) (1997),Crime|Drama,0.5
Primary Colors (1998),Comedy|Drama,4
"Price Above Rubies, A (1998)",Drama,0.5
Two Girls and a Guy (1997),Comedy|Drama,4
"Object of My Affection, The (1998)",Comedy|Romance,0.5
Meet the Deedles (1998),Children|Comedy,4
Homegrown (1998),Comedy|Thriller,3.5
The Players Club (1998),Comedy|Drama,4
Barney's Great Adventure (1998),Adventure|Children,4
"Big One, The (1997)",Comedy|Documentary,0.5
Chinese Box (1997),Drama|Romance,4
Lost in Space (1998),Action|Adventure|Sci-Fi,4.5
Mercury Rising (1998),Action|Drama|Thriller,4
"Spanish Prisoner, The (1997)",Crime|Drama|Mystery|Thriller,0.5
City of Angels (1998),Drama|Fantasy|Romance,4
"Last Days of Disco, The (1998)",Comedy|Drama,5
He Got Game (1998),Drama,0.5
"Gingerbread Man, The (1998)",Drama|Thriller,0.5
Live Flesh (Carne trémula) (1997),Drama|Romance,4.5
Zero Effect (1998),Comedy|Mystery|Thriller,4.5
Nil By Mouth (1997),Drama,0.5
"Borrowers, The (1997)",Adventure|Children|Comedy|Fantasy,3
"Alan Smithee Film: Burn Hollywood Burn, An (1997)",Comedy,3.5
Kissing a Fool (1998),Comedy|Romance,4.5
Krippendorf's Tribe (1998),Comedy,3
Kurt & Courtney (1998),Documentary,3.5
"Real Blonde, The (1997)",Comedy,4.5
Mr. Nice Guy (Yat goh ho yan) (1997),Action|Comedy,4.5
Taste of Cherry (Ta'm e guilass) (1997),Drama,4.5
Character (Karakter) (1997),Drama,4
Species II (1998),Horror|Sci-Fi,5
Major League: Back to the Minors (1998),Comedy,3.5
Wild Man Blues (1997),Documentary,4
"Big Hit, The (1998)",Action|Comedy|Crime,3
Tarzan and the Lost City (1998),Action|Adventure,4
Black Dog (1998),Action|Thriller,3
"Dancer, Texas Pop. 81 (1998)",Comedy|Drama,4.5
"Friend of the Deceased, A (Priyatel pokonika) (1997)",Comedy|Drama,3.5
"Misérables, Les (1998)",Crime|Drama|Romance|War,4
Clockwatchers (1997),Comedy,4
Deep Impact (1998),Drama|Sci-Fi|Thriller,5
Woo (1998),Comedy|Romance,4.5
"Hanging Garden, The (1997)",Drama|Romance,0.5
Lawn Dogs (1997),Drama,4
Quest for Camelot (1998),Adventure|Animation|Children|Fantasy|Musical,4
Godzilla (1998),Action|Sci-Fi|Thriller,4
Bulworth (1998),Comedy|Drama|Romance,3.5
Fear and Loathing in Las Vegas (1998),Adventure|Comedy|Drama,4
"Opposite of Sex, The (1998)",Comedy|Drama|Romance,0.5
Almost Heroes (1998),Adventure|Comedy|Western,4
Hope Floats (1998),Comedy|Drama|Romance,4
Insomnia (1997),Drama|Mystery|Thriller,4
Little Boy Blue (1997),Drama,4
"Perfect Murder, A (1998)",Thriller,4
Beyond Silence (Jenseits der Stille) (1996),Drama,3.5
Six Days Seven Nights (1998),Adventure|Comedy|Romance,0.5
Can't Hardly Wait (1998),Comedy|Drama|Romance,3
Cousin Bette (1998),Comedy,0.5
High Art (1998),Drama|Romance,4
Passion in the Desert (1998),Adventure|Drama,5
"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",Comedy|Drama,4
Dream for an Insomniac (1996),Drama|Romance,5
Henry Fool (1997),Comedy|Drama,4
Marie from the Bay of Angels (Marie Baie Des Anges) (1997),Drama,4
Mr. Jealousy (1997),Comedy|Romance,4
Mulan (1998),Adventure|Animation|Children|Comedy|Drama|Musical|Romance,4
"X-Files: Fight the Future, The (1998)",Action|Crime|Mystery|Sci-Fi|Thriller,4
I Went Down (1997),Comedy|Crime|Drama,4.5
Dr. Dolittle (1998),Comedy,4.5
Out of Sight (1998),Comedy|Crime|Drama|Romance|Thriller,3.5
Picnic at Hanging Rock (1975),Drama|Mystery,3.5
Smoke Signals (1998),Comedy|Drama,4
Buffalo '66 (a.k.a. Buffalo 66) (1998),Drama|Romance,5
Armageddon (1998),Action|Romance|Sci-Fi|Thriller,4
Lethal Weapon 4 (1998),Action|Comedy|Crime|Thriller,3
Small Soldiers (1998),Animation|Children|Fantasy|War,0.5
Pi (1998),Drama|Sci-Fi|Thriller,3
Whatever (1998),Drama,4
There's Something About Mary (1998),Comedy|Romance,2
Plan 9 from Outer Space (1959),Horror|Sci-Fi,3
Wings (1927),Action|Drama|Romance|War,5
All Quiet on the Western Front (1930),Action|Drama|War,4
Grand Hotel (1932),Drama|Romance,1
Mutiny on the Bounty (1935),Adventure|Drama,4
"Life of Emile Zola, The (1937)",Drama,2.5
You Can't Take It with You (1938),Comedy|Romance,1.5
How Green Was My Valley (1941),Drama|Musical|Romance,4
Mrs. Miniver (1942),Drama|War,4
Going My Way (1944),Comedy|Drama|Musical,4
"Lost Weekend, The (1945)",Drama,4
"Best Years of Our Lives, The (1946)",Drama|War,1.5
Gentleman's Agreement (1947),Drama,0.5
Hamlet (1948),Drama,2.5
All the King's Men (1949),Drama,3.5
"Greatest Show on Earth, The (1952)",Drama,3
From Here to Eternity (1953),Drama|Romance|War,3.5
On the Waterfront (1954),Crime|Drama,3.5
Marty (1955),Drama|Romance,2
West Side Story (1961),Drama|Musical|Romance,3.5
Tom Jones (1963),Adventure|Comedy|Romance,3
"Man for All Seasons, A (1966)",Drama,3.5
In the Heat of the Night (1967),Drama|Mystery,3
Oliver! (1968),Drama|Musical,4
Midnight Cowboy (1969),Drama,4
"French Connection, The (1971)",Action|Crime|Thriller,4
Rocky (1976),Drama,2
Kramer vs. Kramer (1979),Drama,3
Ordinary People (1980),Drama,3
Chariots of Fire (1981),Drama,5
Terms of Endearment (1983),Comedy|Drama,3
Out of Africa (1985),Drama|Romance,4
"Last Emperor, The (1987)",Drama,4
Rain Man (1988),Drama,4
Driving Miss Daisy (1989),Drama,3.5
Take the Money and Run (1969),Comedy|Crime,4.5
Klute (1971),Drama|Mystery,4
Repo Man (1984),Comedy|Sci-Fi,4
Metropolitan (1990),Comedy,3.5
Labyrinth (1986),Adventure|Fantasy|Musical,5
"Breakfast Club, The (1985)",Comedy|Drama,5
"Nightmare on Elm Street 2: Freddy's Revenge, A (1985)",Horror,4.5
"Nightmare on Elm Street 3: Dream Warriors, A (1987)",Horror|Thriller,5
"Nightmare on Elm Street 4: The Dream Master, A (1988)",Horror|Thriller,4
"Nightmare on Elm Street 5: The Dream Child, A (1989)",Horror,4
"Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A) (1991)",Horror,5
Friday the 13th (1980),Horror|Mystery|Thriller,3.5
Friday the 13th Part 2 (1981),Horror,4.5
Friday the 13th Part 3: 3D (1982),Horror,4
Friday the 13th Part IV: The Final Chapter (1984),Horror,4.5
Friday the 13th Part V: A New Beginning (1985),Horror,4.5
Friday the 13th Part VI: Jason Lives (1986),Horror,4.5
Friday the 13th Part VII: The New Blood (1988),Horror,3.5
Friday the 13th Part VIII: Jason Takes Manhattan (1989),Horror,4
Halloween (1978),Horror,4.5
Halloween II (1981),Horror,4
Halloween III: Season of the Witch (1982),Horror,4.5
Halloween 4: The Return of Michael Myers (1988),Horror,3.5
Halloween 5: The Revenge of Michael Myers (1989),Horror,4
Prom Night (1980),Horror,4
Child's Play (1988),Horror|Thriller,4.5
Child's Play 2 (1990),Horror|Thriller,4.5
Child's Play 3 (1991),Comedy|Horror|Thriller,5
Poltergeist (1982),Horror|Thriller,4.5
Poltergeist II: The Other Side (1986),Horror|Thriller,4
Poltergeist III (1988),Horror|Thriller,4
"Exorcist, The (1973)",Horror|Mystery,3.5
Exorcist II: The Heretic (1977),Horror,5
"Exorcist III, The (1990)",Horror,5
Lethal Weapon (1987),Action|Comedy|Crime|Drama,4
Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama,5
Lethal Weapon 3 (1992),Action|Comedy|Crime|Drama,4.5
Gremlins (1984),Comedy|Horror,4.5
Gremlins 2: The New Batch (1990),Comedy|Horror,4.5
"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy,4
"Mask of Zorro, The (1998)",Action|Comedy|Romance,4
Polish Wedding (1998),Comedy,4
Soylent Green (1973),Drama|Mystery|Sci-Fi|Thriller,4
Metropolis (1927),Drama|Sci-Fi,3
Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi,5
Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western,4.5
"Poseidon Adventure, The (1972)",Action|Adventure|Drama,4
Freaky Friday (1977),Children|Comedy|Fantasy,4.5
"Absent-Minded Professor, The (1961)",Children|Comedy|Fantasy,4.5
"Apple Dumpling Gang Rides Again, The (1979)",Children|Comedy|Western,4.5
Babes in Toyland (1961),Children|Fantasy|Musical,1
Bambi (1942),Animation|Children|Drama,3.5
Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama,0.5
Dangerous Liaisons (1988),Drama|Romance,3.5
Dune (1984),Adventure|Sci-Fi,3.5
"Last Temptation of Christ, The (1988)",Drama,4
"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller,4
"Rapture, The (1991)",Drama|Mystery,3.5
Lolita (1997),Drama|Romance,3.5
Disturbing Behavior (1998),Horror|Thriller,2.5
Jane Austen's Mafia! (1998),Comedy|Crime,1
Saving Private Ryan (1998),Action|Drama|War,3
Billy's Hollywood Screen Kiss (1997),Comedy|Romance,4
East Palace West Palace (Dong gong xi gong) (1997),Drama,3
"Million Dollar Duck, The (a.k.a. $1,000,000 Duck) (1971)",Children|Comedy,3
"Barefoot Executive, The (1971)",Children|Comedy,4
"Black Cauldron, The (1985)",Adventure|Animation|Children|Fantasy,0.5
"Black Hole, The (1979)",Children|Sci-Fi,1
Blackbeard's Ghost (1968),Children|Comedy,3.5
Blank Check (1994),Children|Comedy,4
Candleshoe (1977),Adventure|Children|Comedy,2.5
"Cat from Outer Space, The (1978)",Children|Comedy|Sci-Fi,3.5
"Computer Wore Tennis Shoes, The (1969)",Children|Comedy,3.5
Condorman (1981),Action|Adventure|Children|Comedy,4.5
D2: The Mighty Ducks (1994),Children|Comedy,4
Darby O'Gill and the Little People (1959),Adventure|Children|Fantasy,2
"Devil and Max Devlin, The (1981)",Comedy|Fantasy,4
"Far Off Place, A (1993)",Adventure|Children|Drama|Romance,1
Flight of the Navigator (1986),Adventure|Children|Sci-Fi,4
"Great Mouse Detective, The (1986)",Action|Animation|Children|Crime,4
"Happiest Millionaire, The (1967)",Comedy|Musical,4
Herbie Goes Bananas (1980),Adventure|Children|Comedy,4
Herbie Goes to Monte Carlo (1977),Adventure|Children|Comedy,4.5
Hocus Pocus (1993),Children|Comedy|Fantasy|Horror,4
"Honey, I Blew Up the Kid (1992)",Children|Comedy|Sci-Fi,3.5
"Honey, I Shrunk the Kids (1989)",Adventure|Children|Comedy|Fantasy|Sci-Fi,4.5
Hot Lead and Cold Feet (1978),Action|Comedy|Western,3.5
In Search of the Castaways (1962),Adventure|Children,4
"Incredible Journey, The (1963)",Adventure|Children,3.5
"Negotiator, The (1998)",Action|Crime|Drama|Mystery|Thriller,4
"Parent Trap, The (1998)",Children|Comedy|Romance,4
BASEketball (1998),Comedy,4
Full Tilt Boogie (1997),Documentary,4.5
"Governess, The (1998)",Drama|Romance,3.5
Roger & Me (1989),Documentary,3.5
"Purple Rose of Cairo, The (1985)",Comedy|Drama|Fantasy|Romance,4
Out of the Past (1947),Film-Noir,4
Doctor Zhivago (1965),Drama|Romance|War,4
Fanny and Alexander (Fanny och Alexander) (1982),Drama|Fantasy|Mystery,4
"Trip to Bountiful, The (1985)",Drama,2.5
Tender Mercies (1983),Drama|Romance|Western,4
And the Band Played On (1993),Drama,2
"'burbs, The (1989)",Comedy,3
Fandango (1985),Comedy,3
"Night Porter, The (Portiere di notte, Il) (1974)",Crime|Drama|Romance,4
Mephisto (1981),Drama|War,4
Blue Velvet (1986),Drama|Mystery|Thriller,4.5
"Journey of Natty Gann, The (1985)",Adventure|Children,4.5
"Jungle Book, The (1967)",Animation|Children|Comedy|Musical,4
Kidnapped (1960),Adventure|Children|Drama,3.5
Lady and the Tramp (1955),Animation|Children|Comedy|Romance,2.5
"Little Mermaid, The (1989)",Animation|Children|Comedy|Musical|Romance,2.5
"Mighty Ducks, The (1992)",Children|Comedy,2.5
"Muppet Christmas Carol, The (1992)",Children|Comedy|Musical,3.5
Newsies (1992),Children|Musical,2.5
101 Dalmatians (One Hundred and One Dalmatians) (1961),Adventure|Animation|Children,4.5
One Magic Christmas (1985),Drama|Fantasy,4.5
Peter Pan (1953),Animation|Children|Fantasy|Musical,2.5
Popeye (1980),Adventure|Comedy|Musical,3.5
"Rescuers Down Under, The (1990)",Adventure|Animation|Children,2.5
"Rescuers, The (1977)",Adventure|Animation|Children|Crime|Drama,2.5
Return from Witch Mountain (1978),Children|Sci-Fi,1.5
"Return of Jafar, The (1994)",Adventure|Animation|Children|Fantasy|Musical|Romance,3
Return to Oz (1985),Adventure|Children|Fantasy,3.5
"Rocketeer, The (1991)",Action|Adventure|Sci-Fi,4
"Shaggy D.A., The (1976)",Children|Comedy,3
Sleeping Beauty (1959),Animation|Children|Musical,2.5
Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller,2.5
Son of Flubber (1963),Children|Comedy,1
Song of the South (1946),Adventure|Animation|Children|Musical,5
Splash (1984),Comedy|Fantasy|Romance,3.5
Squanto: A Warrior's Tale (1994),Adventure|Drama,2.5
Steamboat Willie (1928),Animation|Children|Comedy|Musical,4.5
Tall Tale (1995),Adventure|Children|Fantasy|Western,1.5
Tex (1982),Drama,4.5
Tron (1982),Action|Adventure|Sci-Fi,2
Swing Kids (1993),Drama|War,3
Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998),Horror|Thriller,3.5
L.A. Story (1991),Comedy|Romance,3.5
"Jerk, The (1979)",Comedy,2.5
Dead Men Don't Wear Plaid (1982),Comedy|Crime|Thriller,3
"Man with Two Brains, The (1983)",Comedy,2.5
Grand Canyon (1991),Crime|Drama,2.5
Graveyard Shift (Stephen King's Graveyard Shift) (1990),Horror|Thriller,0.5
"Outsiders, The (1983)",Drama,2
Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy,4.5
"Lord of the Rings, The (1978)",Adventure|Animation|Children|Fantasy,4
1984 (Nineteen Eighty-Four) (1984),Drama|Sci-Fi,2.5
"Dead Zone, The (1983)",Thriller,2.5
Maximum Overdrive (1986),Horror,2.5
Needful Things (1993),Drama|Horror,2.5
Cujo (1983),Horror|Thriller,2
Children of the Corn (1984),Horror|Thriller,3
All Dogs Go to Heaven (1989),Animation|Children|Comedy|Drama|Fantasy,2
"Addams Family, The (1991)",Children|Comedy|Fantasy,3.5
Ever After: A Cinderella Story (1998),Comedy|Drama|Romance,3.5
Snake Eyes (1998),Action|Crime|Mystery|Thriller,1.5
Atlantic City (1980),Crime|Drama|Romance,4
Autumn Sonata (Höstsonaten) (1978),Drama,2.5
Who's Afraid of Virginia Woolf? (1966),Drama,1.5
Adventures in Babysitting (1987),Adventure|Comedy,5
Weird Science (1985),Comedy|Fantasy|Sci-Fi,2.5
Doctor Dolittle (1967),Adventure|Children|Musical,2
"Nutty Professor, The (1963)",Comedy|Sci-Fi,4.5
Charlotte's Web (1973),Animation|Children,4.5
Watership Down (1978),Adventure|Animation|Children|Drama|Fantasy,1
"Secret of NIMH, The (1982)",Adventure|Animation|Children|Drama,2.5
"Dark Crystal, The (1982)",Adventure|Fantasy,2.5
"American Tail, An (1986)",Adventure|Animation|Children|Comedy,3
"American Tail: Fievel Goes West, An (1991)",Adventure|Animation|Children|Musical|Western,3
Legend (1985),Adventure|Fantasy|Romance,1.5
Sixteen Candles (1984),Comedy|Romance,3.5
Pretty in Pink (1986),Comedy|Drama|Romance,3.5
St. Elmo's Fire (1985),Drama|Romance,3
"Clan of the Cave Bear, The (1986)",Adventure|Drama|Fantasy,1
House (1986),Comedy|Fantasy|Horror,3.5
House II: The Second Story (1987),Comedy|Fantasy|Horror,5
"Gods Must Be Crazy, The (1980)",Adventure|Comedy,2.5
"Gods Must Be Crazy II, The (1989)",Comedy,4.5
Air Bud: Golden Receiver (1998),Children|Comedy,2.5
"Avengers, The (1998)",Action|Adventure,5
How Stella Got Her Groove Back (1998),Drama|Romance,2.5
"Slums of Beverly Hills, The (1998)",Comedy|Drama,3.5
"Chambermaid on the Titanic, The (Femme de chambre du Titanic, La) (1998)",Romance,1.5
"Henry: Portrait of a Serial Killer, Part 2 (1998)",Crime|Horror,3.5
Henry: Portrait of a Serial Killer (1986),Crime|Horror|Thriller,2.5
Rosemary's Baby (1968),Drama|Horror|Thriller,2.5
"NeverEnding Story, The (1984)",Adventure|Children|Fantasy,2.5
"NeverEnding Story II: The Next Chapter, The (1990)",Adventure|Children|Fantasy,0.5
Attack of the Killer Tomatoes! (1978),Comedy|Horror,3
Surf Nazis Must Die (1987),Action|Comedy|Drama|Horror,3.5
Your Friends and Neighbors (1998),Comedy|Drama,3
Return to Paradise (1998),Crime|Drama|Romance|Thriller,3.5
Blade (1998),Action|Horror|Thriller,3
Dance with Me (1998),Drama|Romance,2.5
Dead Man on Campus (1998),Comedy,4
Wrongfully Accused (1998),Action|Comedy,3
Next Stop Wonderland (1998),Comedy|Drama|Romance,3.5
"Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998)",Comedy|Drama,2
"Navigator: A Mediaeval Odyssey, The (1988)",Adventure|Fantasy|Sci-Fi,2.5
Beetlejuice (1988),Comedy|Fantasy,4
Rope (1948),Crime|Drama|Thriller,3
Family Plot (1976),Comedy|Thriller,1
Frenzy (1972),Thriller,4
Topaz (1969),Thriller,2.5
Torn Curtain (1966),Thriller,1.5
Marnie (1964),Drama|Mystery|Romance|Thriller,3.5
"Wrong Man, The (1956)",Drama|Film-Noir|Thriller,2
"Man Who Knew Too Much, The (1956)",Adventure|Drama|Mystery|Thriller,3.5
"Trouble with Harry, The (1955)",Comedy|Mystery,2.5
I Confess (1953),Thriller,3
Strangers on a Train (1951),Crime|Drama|Film-Noir|Thriller,3
Stage Fright (1950),Mystery|Romance|Thriller,2
54 (1998),Drama,4
I Married A Strange Person! (1997),Animation|Comedy|Fantasy|Sci-Fi,3.5
Why Do Fools Fall In Love? (1998),Drama,3
"Merry War, A (1997)",Comedy,3.5
See the Sea (1997),Thriller,2.5
Willow (1988),Action|Adventure|Fantasy,1.5
"Untouchables, The (1987)",Action|Crime|Drama,3.5
Dirty Work (1998),Comedy,2
Knock Off (1998),Action,3.5
Firelight (1997),Drama,4.5
Under Capricorn (1949),Drama,2.5
"Paradine Case, The (1947)",Drama,3.5
Lifeboat (1944),Drama|War,3
Shadow of a Doubt (1943),Crime|Drama|Thriller,3.5
Saboteur (1942),Mystery|Thriller,2.5
Mr. & Mrs. Smith (1941),Comedy|Romance,3
Suspicion (1941),Film-Noir|Mystery|Thriller,4.5
Jamaica Inn (1939),Drama,3
"Lady Vanishes, The (1938)",Drama|Mystery|Thriller,2.5
Young and Innocent (1937),Crime|Thriller,1.5
Sabotage (1936),Thriller,2.5
Secret Agent (1936),Thriller,3
"Man Who Knew Too Much, The (1934)",Drama|Thriller,1.5
Rich and Strange (1931),Comedy|Romance,5
Blackmail (1929),Drama|Thriller,2.5
Champagne (1928),Comedy,3.5
"Lodger: A Story of the London Fog, The (1927)",Crime|Drama|Thriller,3.5
Rounders (1998),Drama,3
Cube (1997),Horror|Mystery|Sci-Fi|Thriller,2.5
Simon Birch (1998),Drama,4.5
Without Limits (1998),Drama,4.5
Seven Beauties (Pasqualino Settebellezze) (1976),Comedy|Drama,4.5
Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),Comedy|Drama,2.5
My Bodyguard (1980),Drama,4
Broadcast News (1987),Comedy|Drama|Romance,3
Working Girl (1988),Comedy|Drama|Romance,2.5
Married to the Mob (1988),Comedy,2.5
Say Anything... (1989),Comedy|Drama|Romance,5
My Blue Heaven (1990),Comedy,3.5
Men Don't Leave (1990),Drama,3
Hero (1992),Comedy|Drama,2
Toys (1992),Comedy|Fantasy,2.5
Choices (1981),Drama,3.5
Young Doctors in Love (1982),Comedy,3
"Master, The (1984)",Action,4
Blame It on Rio (1984),Comedy|Romance,4
One Crazy Summer (1986),Comedy,2.5
About Last Night... (1986),Comedy|Drama|Romance,3.5
"Seventh Sign, The (1988)",Drama|Fantasy|Thriller,3.5
We're No Angels (1989),Comedy|Crime,2.5
Nothing But Trouble (1991),Adventure|Comedy,2.5
"Butcher's Wife, The (1991)",Comedy|Romance,4
Mortal Thoughts (1991),Mystery|Thriller,1.5
"Few Good Men, A (1992)",Crime|Drama|Thriller,3
Indecent Proposal (1993),Drama|Romance,4.5
Permanent Midnight (1998),Drama,5
One True Thing (1998),Drama,3.5
Rush Hour (1998),Action|Comedy|Crime|Thriller,4.5
Six-String Samurai (1998),Action|Adventure|Sci-Fi,3
"Soldier's Daughter Never Cries, A (1998)",Drama,5
Ronin (1998),Action|Crime|Thriller,5
Urban Legend (1998),Horror|Thriller,1.5
Clay Pigeons (1998),Crime,4
Pecker (1998),Comedy|Drama,4.5
"Sheltering Sky, The (1990)",Drama,5
Bandit Queen (1994),Drama,2
If.... (1968),Drama,3.5
Them! (1954),Horror|Sci-Fi|Thriller,3
"Thing, The (1982)",Action|Horror|Sci-Fi|Thriller,5
"Player, The (1992)",Comedy|Crime|Drama,2.5
Stardust Memories (1980),Comedy|Drama,3.5
Edward Scissorhands (1990),Drama|Fantasy|Romance,3.5
Shadrach (1998),Drama,2.5
Antz (1998),Adventure|Animation|Children|Comedy|Fantasy,4
"Impostors, The (1998)",Comedy,4
"Night at the Roxbury, A (1998)",Comedy,3.5
What Dreams May Come (1998),Adventure|Drama|Fantasy|Romance,5
"Producers, The (1968)",Comedy,4
History of the World: Part I (1981),Comedy|Musical,2.5
My Cousin Vinny (1992),Comedy,3.5
Nashville (1975),Drama|Musical,3
Slam (1998),Drama,3
Holy Man (1998),Comedy,4.5
One Tough Cop (1998),Action|Crime,4.5
"Mighty, The (1998)",Drama,2
2010: The Year We Make Contact (1984),Sci-Fi,4
Children of a Lesser God (1986),Drama,3.5
"Elephant Man, The (1980)",Drama,4
Beloved (1998),Drama,4
Bride of Chucky (Child's Play 4) (1998),Comedy|Horror|Thriller,1
Practical Magic (1998),Drama|Fantasy|Mystery|Romance,4
Happiness (1998),Comedy|Drama,3
Apt Pupil (1998),Drama|Thriller,4
Pleasantville (1998),Comedy|Drama|Fantasy,3.5
Soldier (1998),Action|Sci-Fi|War,4.5
"Cruise, The (1998)",Documentary,4
Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War,0.5
Orgazmo (1997),Comedy,4.5
Shattered Image (1998),Drama|Thriller,2.5
Tales from the Darkside: The Movie (1990),Fantasy|Horror|Thriller,4
Vampires (1998),Horror|Western,3
American History X (1998),Crime|Drama,3.5
Hands on a Hard Body (1996),Comedy|Documentary,3.5
Living Out Loud (1998),Comedy|Drama|Romance,4
Gods and Monsters (1998),Drama,3.5
"Siege, The (1998)",Action|Thriller,4
"Waterboy, The (1998)",Comedy,3
Elizabeth (1998),Drama,4
Velvet Goldmine (1998),Drama,3
I Still Know What You Did Last Summer (1998),Horror|Mystery|Thriller,4
I'll Be Home For Christmas (1998),Comedy|Romance,3.5
Meet Joe Black (1998),Romance,3.5
Hard Core Logo (1996),Comedy|Drama,4
Runaway Train (1985),Action|Adventure|Drama|Thriller,4
Desert Bloom (1986),Drama,4
"Stepford Wives, The (1975)",Mystery|Sci-Fi|Thriller,3.5
"Pope of Greenwich Village, The (1984)",Drama,3.5
Sid and Nancy (1986),Drama,0.5
Mona Lisa (1986),Comedy|Thriller,4
Heart Condition (1990),Comedy,3.5
"Nights of Cabiria (Notti di Cabiria, Le) (1957)",Drama,4
"Big Chill, The (1983)",Comedy|Drama,2
Enemy of the State (1998),Action|Thriller,3.5
"Rugrats Movie, The (1998)",Animation|Children|Comedy,4
"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy,4
Celebrity (1998),Comedy,5
Central Station (Central do Brasil) (1998),Drama,4
Savior (1998),Drama|War,3.5
Waking Ned Devine (a.k.a. Waking Ned) (1998),Comedy,3.5
"Celebration, The (Festen) (1998)",Drama,4
Pink Flamingos (1972),Comedy,4
Glen or Glenda (1953),Drama,3.5
Godzilla (Gojira) (1954),Drama|Horror|Sci-Fi,3.5
"Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984)",Action|Horror|Sci-Fi|Thriller,3.5
King Kong vs. Godzilla (Kingukongu tai Gojira) (1962),Action|Sci-Fi,3.5
King Kong (1933),Action|Adventure|Fantasy|Horror,3.5
King Kong (1976),Adventure|Fantasy|Romance|Sci-Fi|Thriller,3
King Kong Lives (1986),Adventure|Sci-Fi,3.5
Desperately Seeking Susan (1985),Comedy|Drama|Romance,4
"Emerald Forest, The (1985)",Action|Adventure|Drama,3
Fletch (1985),Comedy|Crime|Mystery,3.5
Fletch Lives (1989),Comedy,4
Red Sonja (1985),Action|Adventure|Fantasy,3.5
Gung Ho (1986),Comedy|Drama,3.5
"Money Pit, The (1986)",Comedy,3.5
"View to a Kill, A (1985)",Action|Adventure|Thriller,3.5
Lifeforce (1985),Horror|Sci-Fi,3
Police Academy (1984),Comedy|Crime,3
Police Academy 2: Their First Assignment (1985),Comedy|Crime,3.5
Police Academy 3: Back in Training (1986),Comedy|Crime,4
Police Academy 4: Citizens on Patrol (1987),Comedy|Crime,2.5
Police Academy 5: Assignment: Miami Beach (1988),Comedy|Crime,3
Police Academy 6: City Under Siege (1989),Comedy|Crime,2.5
Babe: Pig in the City (1998),Adventure|Children|Drama,3.5
Home Fries (1998),Comedy|Romance,4
Jerry Springer: Ringmaster (1998),Comedy|Drama,3.5
Very Bad Things (1998),Comedy|Crime,3.5
Psycho (1998),Crime|Horror|Thriller,4
Little Voice (1998),Comedy,3.5
"Simple Plan, A (1998)",Crime|Drama|Thriller,4
Jack Frost (1998),Children|Comedy|Drama,4
Star Trek: Insurrection (1998),Action|Drama|Romance|Sci-Fi,3
"Prince of Egypt, The (1998)",Animation|Musical,2.5
Rushmore (1998),Comedy|Drama,4
Shakespeare in Love (1998),Comedy|Drama|Romance,4
Miracle on 34th Street (1947),Comedy|Drama,5
Santa Claus: The Movie (1985),Adventure|Children|Fantasy,3
Prancer (1989),Children|Drama|Fantasy,5
Pale Rider (1985),Western,2
Rambo: First Blood Part II (1985),Action|Adventure|Thriller,5
First Blood (Rambo: First Blood) (1982),Action|Adventure|Drama|Thriller,5
Rambo III (1988),Action|Adventure|Thriller|War,4
"Jewel of the Nile, The (1985)",Action|Adventure|Comedy|Romance,3
Romancing the Stone (1984),Action|Adventure|Comedy|Romance,5
Cocoon (1985),Comedy|Sci-Fi,4
